Query	Closest-1	Closest-2	Closest-3
What are the things that we can do to bring change in Indian education system?	What are the things that we can do to bring change in Indian education system?	What are the things that we can do to bring change in Indian education system?	What are the things that we can do to bring change in Indian education system?
Is Donald Trump in league with Putin?	Is Donald Trump in league with Putin?	Is Donald Trump in league with Putin?	What are some ways to contact Jesse Ventura?
What does Bootstrap do?	What is Kairos like?	What is frugal?	What is a Discord chat?
Why did Sanskrit fail to become a suitable language for computers?	Why did Sanskrit fail to become a suitable language for computers?	Why did Sanskrit fail to become a suitable language for computers?	Technology: Are we compromising on wisdom over information?
How can I increase my typing speed fast?	How can I increase my typing speed fast?	How can I increase my typing speed fast?	How can I increase my typing speed fast?
Why is it that sometimes when I pee I get the shivers?	What is the best online test series for IAS exams?	What are some good website to learn basic English grammar?	What are some good books to read for beginners of coding?
What iPhone headphones have the best mic?	What is the future of software companies in Madhya Pradesh, India?	Why is Premarital sex is taboo in India?	Why is Premarital sex is taboo in India?
I use a MacBook Pro and I want to practice C programming in it, how can I do it?	I use a MacBook Pro and I want to practice C programming in it, how can I do it?	Which is a suitable solar panel installation provider in Sonora, California CA?	Which is a suitable solar panel installation provider in Sonora, California CA?
I am unable to disable secure boot on my laptop. Even after saving changes it gets enabled on its own. What can I do?	My overall body is fit enough but my wrist and my hands gripping power is not so well… Why is it happening and how can I resolve it?	If you make it to the references and background check stage of the D.E. Shaw application process, how likely are you to get an offer?	For those really good at JavaScript, what are some things you see people do in JavaScript that are bad signs?
What are some effects of the Russian Revolution of 1917?	What should I do if a guy wants to perform cunnilingus on me and I'm having my period?	Which taxi service do Indians prefer: Uber, Ola, Meru, or EasyCabs?	Why did Trump change his birther position on Obama?
Do grad schools care about the classes you take more than your GPA in undergrad, or do they just look at the GPA?	Is it necessary to pay the fees of entire session if I am changing my school in between i.e mid session? (CBSE)	Is a size 8 1/2 in shoes pretty big for a woman?	How good is the post of Application developer at Oracle India Ltd. as a fresher? What are the career growth opportunities?
I forgot my Gmail username and have no access to my recovery phone number. How can I re-access my Gmail account?	I forgot my Gmail username and have no access to my recovery phone number. How can I re-access my Gmail account?	I forgot my Gmail username and have no access to my recovery phone number. How can I re-access my Gmail account?	I forgot my Gmail username and have no access to my recovery phone number. How can I re-access my Gmail account?
How can I find someone's cell phone number online?	Minimum internet speed for team viewer?	What's the best birthday gift you have ever received from your partner?	What's the best birthday gift you have ever received from your partner?
Who won World War 2?	What is base reality?	How do hotels buy towels?	How do use FaceTime?
